location-lat,location-long,timestamp
53.2325972,4.9205175,2019-02-10 03:13:20
53.2230953,4.9442158,2019-02-10 04:14:06
53.1950065,4.9602442,2019-02-10 05:14:24
53.1895792,4.9716374,2019-02-10 06:14:37
53.1788975,4.9556601,2019-02-10 07:15:25
53.1745813,4.9411981,2019-02-10 08:15:41
53.1702006,4.9119311,2019-02-10 09:15:52
53.1696259,4.9118169,2019-02-10 10:16:36
53.1699832,4.9109755,2019-02-10 11:16:46
53.1704884,4.911613,2019-02-10 12:17:02
53.1698085,4.9262821,2019-02-10 13:17:36
53.1942079,4.9799118,2019-02-10 14:17:42
53.1941942,4.9736339,2019-02-10 15:18:02
53.1943861,4.9698608,2019-02-10 16:18:30
53.2065303,4.9479345,2019-02-10 17:19:06
53.2308519,4.9221171,2019-02-10 18:19:21
53.2308852,4.9221398,2019-02-10 19:19:37
53.230832,4.9220579,2019-02-10 20:19:58
53.2307986,4.9222789,2019-02-10 21:19:56
53.2308749,4.9226676,2019-02-10 22:20:36
53.2323323,4.9210497,2019-02-10 23:20:55
53.2323673,4.9209848,2019-02-11 00:20:58
53.2323865,4.9210069,2019-02-11 01:21:26
53.2323775,4.9210501,2019-02-11 02:22:06
53.2323693,4.9210535,2019-02-11 03:22:13
53.1954885,4.9648908,2019-02-11 04:22:29
53.1925475,4.9691141,2019-02-11 05:22:38
53.1898362,4.970694,2019-02-11 06:23:30
53.1813808,4.9509312,2019-02-11 07:24:07
53.1694251,4.9163765,2019-02-11 08:24:02
53.1693759,4.9162318,2019-02-11 09:24:17
53.162971,4.8799588,2019-02-11 10:27:06
53.1637549,4.8804204,2019-02-11 11:27:29
53.1640149,4.8804109,2019-02-11 12:28:01
53.1711575,4.945749,2019-02-11 13:28:30
53.1960432,4.9853377,2019-02-11 14:28:48
53.1967939,4.9759162,2019-02-11 15:28:47
53.2085003,4.9860817,2019-02-11 16:29:36
53.2091448,4.9772973,2019-02-11 17:29:49
53.2103946,4.9750541,2019-02-11 18:29:49
53.1366974,4.9069132,2019-02-11 19:30:37
53.1366974,4.90691,2019-02-11 20:30:37
53.1367247,4.9068915,2019-02-11 21:31:06
53.1367101,4.9068977,2019-02-11 22:31:54
53.1366251,4.9067283,2019-02-11 23:31:56
53.1366045,4.9067887,2019-02-12 00:32:36
53.1367241,4.9068138,2019-02-12 01:33:04
53.1367365,4.9068323,2019-02-12 02:32:58
53.1367044,4.9069568,2019-02-12 03:33:13
53.2015891,4.9583753,2019-02-12 04:33:36
53.1941449,4.964727,2019-02-12 05:34:30
53.1923032,4.9675306,2019-02-12 06:35:03
53.1918865,4.9697262,2019-02-12 07:35:02
53.1837211,4.9496268,2019-02-12 08:35:19
53.1869198,4.9445768,2019-02-12 09:35:36
53.1868844,4.9444499,2019-02-12 10:35:51
53.187282,4.9433497,2019-02-12 11:36:17
53.1868075,4.9455273,2019-02-12 12:36:36
53.1868088,4.9456043,2019-02-12 13:36:52
53.1964832,4.9746375,2019-02-12 14:36:51
53.2036743,4.9722017,2019-02-12 15:37:35
53.2097691,4.9445752,2019-02-12 16:37:54
53.2100537,4.9431336,2019-02-12 17:37:54
53.205981,4.9431568,2019-02-12 18:38:36
53.2307976,4.9227553,2019-02-12 19:38:57
53.2307991,4.9227303,2019-02-12 20:39:00
53.2307425,4.9227568,2019-02-12 21:39:36
53.2307189,4.9227701,2019-02-12 22:39:44
53.2323442,4.9205558,2019-02-12 23:40:05
53.23232,4.9206481,2019-02-13 00:40:36
53.2323228,4.9206051,2019-02-13 01:40:34
53.2323565,4.9205846,2019-02-13 02:40:49
53.2323041,4.9205987,2019-02-13 03:41:04
53.2267363,4.9552608,2019-02-13 04:41:16
53.2282473,4.9551606,2019-02-13 05:41:32
53.2080198,4.9470173,2019-02-13 06:42:10
53.1896709,4.9685163,2019-02-13 07:42:37
53.1830905,4.9516479,2019-02-13 08:42:34
53.1870178,4.9443082,2019-02-13 09:43:07
53.1869672,4.9438272,2019-02-13 10:43:26
53.227804,4.9371507,2019-02-13 11:43:37
53.2283821,4.9367611,2019-02-13 12:44:24
53.250396,4.9823856,2019-02-13 13:46:00
53.2296489,4.9621732,2019-02-13 14:50:17
53.2281336,4.9632809,2019-02-13 15:51:00
53.2293403,4.9551023,2019-02-13 16:51:03
53.2278967,4.951513,2019-02-13 17:51:19
53.2280126,4.9506651,2019-02-13 18:52:06
53.2284333,4.9507955,2019-02-13 19:52:05
53.2310655,4.9232294,2019-02-13 20:52:22
53.2311047,4.922917,2019-02-13 21:52:36
53.2322324,4.9205818,2019-02-13 22:52:53
53.2322656,4.9203957,2019-02-13 23:53:28
53.2322149,4.9204656,2019-02-14 00:54:06
53.2321553,4.9204838,2019-02-14 01:54:27
53.2321551,4.9204851,2019-02-14 02:54:26
53.2321514,4.9204567,2019-02-14 03:54:51
53.2274652,4.9550264,2019-02-14 04:55:36
53.2281522,4.9551574,2019-02-14 05:55:28
53.227203,4.9506433,2019-02-14 06:55:55
53.2073466,4.9446645,2019-02-14 07:56:30
53.2074721,4.9521162,2019-02-14 08:56:47
53.2263872,4.9389587,2019-02-14 09:57:14
53.2269256,4.9383148,2019-02-14 10:57:36
53.2270884,4.9381167,2019-02-14 11:58:06
53.227282,4.9381415,2019-02-14 12:58:34
53.2275828,4.9382345,2019-02-14 13:58:38
53.2275749,4.9381938,2019-02-14 14:59:03
53.225233,4.9373838,2019-02-14 15:59:07
53.2108607,4.9629121,2019-02-14 16:59:36
53.203497,4.9424196,2019-02-14 18:00:34
52.9469023,5.016188,2019-02-14 19:00:53
52.8778748,5.0327523,2019-02-14 19:10:50
52.8021285,5.0449685,2019-02-14 19:20:51
52.7157404,5.0630324,2019-02-14 19:30:51
52.6287309,5.0658349,2019-02-14 19:40:58
52.5811594,5.0330243,2019-02-14 19:50:50
52.5550149,4.9182755,2019-02-14 20:00:43
52.5598852,4.7644137,2019-02-14 20:10:36
52.5467644,4.7377108,2019-02-14 20:20:26
52.5464199,4.737387,2019-02-14 20:30:36
52.5464139,4.7373873,2019-02-14 20:40:25
52.5878441,4.6720343,2019-02-14 20:50:16
52.589638,4.673598,2019-02-14 21:00:09
52.5896384,4.6732247,2019-02-14 21:10:00
52.5898675,4.6734365,2019-02-14 21:20:09
52.5898833,4.673659,2019-02-14 21:30:01
52.5899112,4.6737863,2019-02-14 21:39:54
52.5898737,4.6737017,2019-02-14 21:49:45
52.5898885,4.6737028,2019-02-14 21:59:48
52.592356,4.682082,2019-02-14 22:10:07
52.5509077,4.7581497,2019-02-14 22:19:53
52.5112837,4.8206855,2019-02-14 22:29:44
52.5113446,4.8208561,2019-02-14 22:39:36
52.5114014,4.8205458,2019-02-14 22:49:28
52.4434245,4.8989309,2019-03-28 07:03:47
52.4842362,4.8999511,2019-03-29 06:15:32
52.4856397,4.9302433,2019-03-29 06:25:24
52.4623376,4.8660161,2019-04-04 02:10:40
52.4801183,4.8847819,2019-04-04 06:39:58
52.4667439,4.8571018,2019-04-07 06:53:14
52.457098,4.8659165,2019-04-18 04:53:44
52.4560245,4.8666509,2019-04-19 11:04:41
52.4647371,4.9158211,2019-06-24 18:58:08
52.4638931,4.9185685,2019-06-24 19:07:59
52.4622544,4.9116393,2019-06-24 19:17:52
52.4626019,4.9148525,2019-06-24 19:27:44
52.4626261,4.9148363,2019-06-24 19:37:36
52.4614864,4.9178761,2019-06-24 19:47:27
52.4614208,4.9191204,2019-06-24 19:57:35
52.4569467,4.8586017,2019-07-15 19:02:47
52.4571323,4.858894,2019-07-16 19:53:04
52.4805716,4.8798752,2019-07-17 18:15:17
52.4955998,4.8636034,2019-07-22 22:21:29
52.5719945,4.8831128,2019-07-22 22:31:21
52.6460895,4.9028918,2019-07-22 22:41:13
52.7222269,4.9321445,2019-07-22 22:51:05
52.7968729,4.9477638,2019-07-22 23:00:57
52.878813,4.9199853,2019-07-22 23:10:49
52.8972553,4.9027074,2019-07-22 23:21:03
52.8972898,4.9026645,2019-07-22 23:31:02
52.8972195,4.9027408,2019-07-22 23:40:56
52.8971029,4.9025575,2019-07-22 23:50:49
52.8971697,4.9027905,2019-07-23 00:00:41
52.8999581,4.8969931,2019-07-23 00:10:33
52.9771928,4.8587794,2019-07-23 00:20:24
53.0591686,4.879903,2019-07-23 00:30:16
53.1435801,4.9030004,2019-07-23 00:40:08
53.1458906,4.8986835,2019-07-23 00:44:57
53.1459196,4.8986818,2019-07-23 00:49:44
53.1459272,4.8986644,2019-07-23 00:54:31
53.14595,4.8986606,2019-07-23 00:59:35
53.1459474,4.8986645,2019-07-23 01:04:24
53.1459557,4.8986741,2019-07-23 01:09:11
53.1459637,4.8986503,2019-07-23 01:13:59
53.145956,4.8986605,2019-07-23 01:18:47
53.1460048,4.8986966,2019-07-23 01:23:36
53.1460275,4.8986879,2019-07-23 01:28:26
53.1460277,4.898702,2019-07-23 01:33:12
53.1568637,4.8948689,2019-07-23 01:37:59
53.1586777,4.8887042,2019-07-23 01:42:48
53.1586664,4.8887337,2019-07-23 01:47:37
53.1586784,4.8886954,2019-07-23 01:52:24
53.166636,4.8844224,2019-07-23 01:57:12
53.1899072,4.905876,2019-07-23 02:02:30
53.1900126,4.9061854,2019-07-23 02:07:18
53.1898562,4.9066668,2019-07-23 02:12:07
53.1896024,4.9069363,2019-07-23 02:16:54
53.1894881,4.9076236,2019-07-23 02:21:43
53.1895956,4.9073405,2019-07-23 02:26:31
53.1894059,4.9073243,2019-07-23 02:31:19
53.1893241,4.9068343,2019-07-23 02:36:25
53.1894236,4.9065419,2019-07-23 02:41:10
53.1897879,4.906346,2019-07-23 02:45:58
53.1899205,4.9061793,2019-07-23 02:50:48
53.1896223,4.9061849,2019-07-23 02:55:36
53.1894727,4.9069887,2019-07-23 03:00:23
53.1889364,4.910353,2019-07-23 03:05:11
53.1888495,4.9103862,2019-07-23 03:09:59
53.1889631,4.9105388,2019-07-23 03:14:47
53.1890387,4.9106305,2019-07-23 03:19:35
53.1890358,4.910624,2019-07-23 03:24:34
53.1890412,4.9106336,2019-07-23 03:29:27
53.1888479,4.9106592,2019-07-23 03:34:26
53.1886935,4.9106834,2019-07-23 03:39:18
53.1889306,4.9103918,2019-07-23 03:44:18
53.1889828,4.910406,2019-07-23 03:49:11
53.1889945,4.910438,2019-07-23 03:54:11
53.1897961,4.9139033,2019-07-23 03:59:03
53.1897963,4.9139084,2019-07-23 04:04:02
53.1899576,4.9138378,2019-07-23 04:08:55
53.1900094,4.9139372,2019-07-23 04:14:02
53.1900996,4.9140152,2019-07-23 04:18:47
53.1904834,4.9139734,2019-07-23 04:23:34
53.1906298,4.9140514,2019-07-23 04:28:22
53.1906007,4.914074,2019-07-23 04:33:11
53.1906424,4.9140134,2019-07-23 04:37:58
53.1906383,4.9139956,2019-07-23 04:42:48
53.1907291,4.9139469,2019-07-23 04:47:35
53.1909832,4.9148565,2019-07-23 04:52:36
53.1908747,4.9152289,2019-07-23 04:57:26
53.2129615,4.8924124,2019-07-23 05:02:14
53.2129633,4.892429,2019-07-23 05:07:02
53.2129725,4.8924722,2019-07-23 05:11:50
53.2129568,4.8924451,2019-07-23 05:16:38
53.2129711,4.8924589,2019-07-23 05:21:25
53.2129985,4.8924568,2019-07-23 05:26:13
53.2129736,4.892413,2019-07-23 05:31:01
53.2103214,4.9005541,2019-07-23 05:35:51
53.2100479,4.9009768,2019-07-23 05:40:37
53.2101729,4.9013033,2019-07-23 05:45:25
53.2101371,4.9017457,2019-07-23 05:50:13
53.2101183,4.9025524,2019-07-23 05:55:18
53.2099264,4.9035076,2019-07-23 06:00:05
53.2107408,4.9090852,2019-07-23 06:04:55
53.2107128,4.9093488,2019-07-23 06:09:42
53.2106925,4.9093195,2019-07-23 06:14:30
53.2106234,4.9094016,2019-07-23 06:19:18
53.2106187,4.9094402,2019-07-23 06:24:06
53.2104653,4.9094988,2019-07-23 06:28:57
53.2104274,4.9095335,2019-07-23 06:33:43
53.2140355,4.9022002,2019-07-23 06:38:39
53.2142719,4.9021354,2019-07-23 06:43:33
53.2142699,4.9021659,2019-07-23 06:48:21
53.2144058,4.9022553,2019-07-23 06:53:19
53.2144636,4.9023887,2019-07-23 06:58:23
53.2148183,4.9022595,2019-07-23 07:03:37
53.2148201,4.9022567,2019-07-23 07:08:20
53.2148083,4.902265,2019-07-23 07:13:09
53.2148197,4.9022498,2019-07-23 07:17:56
53.2149265,4.9022897,2019-07-23 07:22:45
53.2150423,4.9022107,2019-07-23 07:27:32
53.215517,4.8998189,2019-07-23 07:32:41
53.2155173,4.8998121,2019-07-23 07:37:26
53.2154831,4.9005087,2019-07-23 07:42:12
53.2153324,4.9024021,2019-07-23 07:47:01
53.2141094,4.9010256,2019-07-23 07:51:49
53.2143623,4.9010143,2019-07-23 07:56:39
53.2138413,4.9012535,2019-07-23 08:01:26
53.2150826,4.9011568,2019-07-23 08:06:13
53.2147541,4.9016273,2019-07-23 08:11:02
53.2146265,4.9020764,2019-07-23 08:15:51
53.2145917,4.9017791,2019-07-23 08:20:36
53.2154346,4.9028572,2019-07-23 08:25:25
53.2144346,4.9004691,2019-07-23 08:30:16
53.2150492,4.9011997,2019-07-23 08:35:04
53.2155955,4.9022332,2019-07-23 08:39:49
53.2159382,4.9027239,2019-07-23 08:44:37
53.2154341,4.9010585,2019-07-23 08:49:35
53.2161312,4.8998115,2019-07-23 08:54:59
53.2161467,4.8998142,2019-07-23 08:59:48
53.2159659,4.8997444,2019-07-23 09:04:37
53.2168638,4.8961243,2019-07-23 09:09:25
53.2176889,4.8965141,2019-07-23 09:14:32
53.2177928,4.8963695,2019-07-23 09:19:18
53.2161473,4.8997173,2019-07-23 09:24:11
53.2162594,4.8996349,2019-07-23 09:29:13
53.2164693,4.8997647,2019-07-23 09:33:56
53.2165382,4.8997853,2019-07-23 09:38:43
53.2166192,4.8997966,2019-07-23 09:43:31
53.2166364,4.8997792,2019-07-23 09:48:19
53.2168269,4.8997409,2019-07-23 09:53:08
53.2168224,4.8997679,2019-07-23 09:57:56
53.2169684,4.8997586,2019-07-23 10:02:43
53.2171688,4.8998198,2019-07-23 10:07:31
53.2173437,4.8998288,2019-07-23 10:12:24
53.2175011,4.8999075,2019-07-23 10:17:08
53.2175843,4.8999576,2019-07-23 10:21:55
53.2178276,4.8999442,2019-07-23 10:26:46
53.2179597,4.8998731,2019-07-23 10:31:31
53.2181989,4.8997886,2019-07-23 10:36:20
53.218228,4.8997519,2019-07-23 10:41:08
53.2186012,4.8997639,2019-07-23 10:46:05
53.2186804,4.8997237,2019-07-23 10:51:34
53.2187758,4.8997476,2019-07-23 10:56:19
53.2187864,4.8994537,2019-07-23 11:01:19
53.2185663,4.8978948,2019-07-23 11:06:17
53.2191779,4.8995818,2019-07-23 11:11:18
53.219231,4.8995489,2019-07-23 11:16:03
53.2192326,4.8995009,2019-07-23 11:21:03
53.2192139,4.8994872,2019-07-23 11:25:54
53.2192239,4.8994955,2019-07-23 11:30:55
53.2192445,4.899557,2019-07-23 11:35:47
53.2192367,4.8994994,2019-07-23 11:40:47
53.2192266,4.89949,2019-07-23 11:45:40
53.2190101,4.9000918,2019-07-23 11:50:42
53.220723,4.9006706,2019-07-23 11:55:33
53.2192279,4.899498,2019-07-23 12:01:00
